Description,Price,Rating,ReviewCount,Url
"Acer Aspire 5 A515-56-50RS, 15.6"" Full HD IPS Display, 11th Gen Intel Core i5-1135G7, Intel Iris Xe Graphics, 8GB DDR4, 256GB NVMe SSD, WiFi 6, Fingerprint Reader, Backlit Keyboard",$629.99,4.3 out of 5 stars,709,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A08483481QFGTDCM67NME&url=%2FAcer-A515-56-50RS-i5-1135G7-Graphics-Fingerprint%2Fdp%2FB08PG4W932%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1634973496%26s%3Dpc%26sr%3D1-1-spons%26psc%3D1&qualifier=1634973496&id=668682192902509&widgetName=sp_atf
"2021 HP 15 Laptop, AMD Ryzen 5 5500U(Beat i7-1065G7) 16GB RAM 1TB SSD 15.6 FHD Display, Webcam for Zoom, HDMI, Wi-Fi, Premium Lightweight Thin Design, Win 10 S-Free Windows 11 Update| ROKC Bundle",$799.99,5.0 out of 5 stars,1,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0197371BROY5J00CMDQ&url=%2FHP-Laptop-i7-1065G7-Display-Lightweight%2Fdp%2FB09DMQ23BQ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptop%26qid%3D1634973496%26s%3Dpc%26sr%3D1-2-spons%26psc%3D1&qualifier=1634973496&id=668682192902509&widgetName=sp_atf
"Acer Aspire 5 A515-46-R14K Slim Laptop | 15.6"" Full HD IPS | AMD Ryzen 3 3350U Quad-Core Mobile Processor | 4GB DDR4 | 128GB NVMe SSD | WiFi 6 | Backlit KB | Amazon Alexa | Windows 10 Home (S mode)",nan,4.6 out of 5 stars,"35,520",https://www.amazon.com//Acer-A515-46-R14K-Quad-Core-Processor-Backlit/dp/B08VKNVDDR/ref=sr_1_3?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-3&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"HP 15 Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8 GB RAM, 256 GB SSD Storage, 15.6” Full HD IPS Display, Windows 10 Home, HP Fast Charge, Lightweight Design (15-dy2021nr, 2020)",nan,4.5 out of 5 stars,"1,332",https://www.amazon.com//HP-i5-1135G7-Processor-Lightweight-15-dy2021nr/dp/B08KGZ79N6/ref=sr_1_4?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-4&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"Acer Nitro 5 AN515-55-53E5 Gaming Laptop | Intel Core i5-10300H | NVIDIA GeForce RTX 3050 Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 256GB NVMe SSD | Intel Wi-Fi 6 | Backlit Keyboard",$812.87,4.7 out of 5 stars,"4,339",https://www.amazon.com//Acer-AN515-55-53E5-i5-10300H-GeForce-Keyboard/dp/B092YHJGMN/ref=sr_1_5?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-5&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"Lenovo IdeaPad Gaming 3 15 15.6"" Laptop, 15.6"" FHD (1920 x 1080) Display, AMD Ryzen 5 5600H Processor, NVIDIA GeForce GTX 1650, 8GB DDR4 RAM, 256GB SSD Storage, Windows 10H, 82K20015US, Shadow Black",$699.99,4.5 out of 5 stars,117,https://www.amazon.com//Lenovo-IdeaPad-Display-Processor-82K20015US/dp/B08YKHGKTV/ref=sr_1_6?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-6&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 10 Home, Thin & Portable, Micro-Edge & Anti-Glare Screen, Long Battery Life (14-fq1021nr, 2021)",nan,4.4 out of 5 stars,608,https://www.amazon.com//HP-Portable-Micro-Edge-Anti-Glare-14-fq1021nr/dp/B091D9652Z/ref=sr_1_7?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-7&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"Windows 10 Pro Laptop, BiTECOOL 2021 New 14 inches HD Clear Display Pc Laptops, with Intel Celeron Dual Core, 6GB LPDDR4, 2.4G WiFi, BT4.0 and Long Lasting Battery, Mic (120GB SSD, J4005)",nan,4.6 out of 5 stars,29,https://www.amazon.com//Windows-BiTECOOL-Display-Laptops-Celeron/dp/B09BNB8XXP/ref=sr_1_8?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-8&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"ASUS Laptop L410 Ultra Thin Laptop, 14” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 128GB Storage, NumberPad, Windows 10 Home in S Mode, 1 Year Microsoft 365, Star Black, L410MA-DB04",$279.54,4.5 out of 5 stars,161,https://www.amazon.com//ASUS-Processor-NumberPad-Microsoft-L410MA-DB04/dp/B09BKDKNT3/ref=sr_1_9?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-9&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
"HP Stream 11.6-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for 1 Year (11-ak0010nr, Royal Blue)",nan,4.4 out of 5 stars,"2,774",https://www.amazon.com//HP-11-6-inch-Celeron-Personal-11-ak0010nr/dp/B0886JS35F/ref=sr_1_10?dchild=1&keywords=laptop&qid=1634973496&qsid=133-1076355-4669933&s=pc&sr=1-10&sres=B08VKNVDDR%2CB08KGZ79N6%2CB092YHJGMN%2CB08YKHGKTV%2CB091D9652Z%2CB09BNB8XXP%2CB09BKDKNT3%2CB0886JS35F%2CB0912CGY5Q%2CB087YW8FQB%2CB091GGZT1S%2CB08ZLC661T%2CB092HFX4DN%2CB099LHZF8T%2CB08ZK18TWF%2CB08CM17RPZ%2CB07Q36QYGW%2CB098QGZMT2%2CB08YKG5K7F%2CB09BBHXYZ9&srpt=NOTEBOOK_COMPUTER
