Ryzen 3-4300U,Độ phân giải màn hình,Core i5-10210U,Core i7-9750HGTX 1650 4GB144Hz,Core i5-10300HGTX 1650 4GB 144Hz,8GB - 512GB VGA 3050,Ryzen 7-5800H  RTX3050 4GB - 165Hz,Loại card đồ họa,15 Inches512GB,Độ phân giải ,R5-5500U  8GB - 256GB,7GPU  16GB - 256GB,"Core i5-1135G7512GB - 14""",1star,Core i5-10210U8GB - 512GB,Cổng giao tiếp,Core i5-1035G7 8 GB / 128 GB,Loại RAM,M1 Pro  10 CPU - 16 GPU  16GB - 512GB,Core i5 1.4Ghz512GB,8GB - 256GB  VGA 1650,Chất liệu,Core i7-1065G716GB - 256GB,Kích thước màn hình,Core i7-1165G7  16GB - 1TB SSD,8GPU16GB - 512GB,Core i716GB - 1TB,Ryzen 5-4600HGTX1 650Ti 4GB - 144Hz,Kích thước, Core i5-10300HGTX 1650 4GB120Hz,I5-1135G7 8GB - 256GB,Ryzen 5-5600HGTX1650 4GB - 144Hz,3star,8GPU8GB - 512GB,Trọng lượng,Core i5-1035G48GB - 256GB,Core i7-10510U,Core i7-10750HGTX 1660Ti 6GB144Hz,Core i716GB - 512GB,R5-5600H - 144Hz - VGA 4GB RX5500M,special_price,Core i5-10300H  GTX1650TI - 144HZ,Ryzen 5-4680U 8 GB / 256 GB,Chất liệu tấm nền,Ryzen 5-5600H RTX3050 4GB - 165Hz,"i5-1135G 14""Intel Iris Xe Graphics",Core i7-10510U8GB - 1TB,17 Inches512GB,Core i5 2Ghz512GB,128GB,Pin,"Core i7-10750HRTX 2060 16GB15.6"" 144Hz",M1 Max  10 CPU - 32 GPU,16GB - 256GB,14 Inches256GB,Core i5-1035G7  8 GB / 256 GB,I5-11400H - VGA 4GB RTX3050TI - 144Hz,Core i7-10750HGTX 1650Ti 4GB144Hz,Core i3-10110U,Bluetooth,I3-1115G48GB - 128GB,Core i7-11370HRTX 3050Ti 4GB144Hz,Ryzen 5-4600HGTX 1650 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050 - 144Hz,Ryzen 7-3700U8GB - 512GB,Đèn bàn phím,Core i58GB - 256GB,Hệ điều hành,5star,"i7-1165G7 14""Intel Iris Xe Graphics",Core i7-11370HGTX1650 4GB - 144Hz,Màn hình cảm ứng,4star,M1 Pro  8 CPU - 14 GPU  16GB - 512GB ,Ryzen 7-3750H8GB - 512GB,"Core i5-1135G7256GB - 14""",Core i3-1115G48GB - 512GB,Core i7-1165G78GB - 512GB,Ryzen 5-3550H8GB - 512GB,"i5-10210U 13.3""Intel UHD Graphics",Core i5-1135G716GB - 512GB,Loại CPU,7GPU8GB - 256GB,R7-5800H - 144Hz - VGA 4GB RX5500M,Core i7-9750HGTX 1650 4GB120Hz,Wi-Fi,R5-4600H  GTX 1650 4GB,8GPU8GB - 256GB,Ryzen 3-3250U4GB - 256GB,old_price,Core i516GB - 512GB,Core i7-10750HGTX 1650Ti 4GB 120Hz,256 GB,I5-1135G7 - 8GB - 512GB ,Core i7-10750HGTX1650 4GB - 144Hz,Công nghệ âm thanh,I7-11370H - /VGA 4GB RTX3050 - 120Hz,14 Inches512GB,I3-1115G4 4GB - 128GB,Core i5 1.4Ghz256GB,Core i5-1135G78GB - 128GB,Core i7-10870HGTX 1650Ti144Hz,comment_count,8GPU16GB - 256GB,8GB - 512GB,2star,Ryzen 5-3500U8GB - 512GB,Core i7-1165G716GB - 1TB,PENT N5030  4GB - 128GB,url,Dung lượng RAM,Webcam,Core i5-1135G78GB - 512GB,"Core i5-1135G7512GB - 15.6""VGA 2GB",I5-11400H - VGA 6GB RTX3060 - 144Hz,R5-4600H - 144Hz - VGA 3GB RX5300M ,"Core i7-10750HRTX 2070 8GB15.6"" 300Hz",I5-11300H - VGA 4GB RTX3050 - 120HZ,Core i7-10750HGTX 1650Ti 4GB - 120Hz,I3-1005G1  4GB - 128GB,Core i5-10300HGTX 1650Ti 4GB120Hz,"Core i5-1135G7512GB - 15.6""",I5-11400H - VGA 4GB RTX3050 - 144Hz,M1 Pro  10 CPU - 16 GPU  16GB - 1TB,Khe đọc thẻ nhớ,Tính năng đặc biệt,16GB - 512GB,"i5-1035G 15.6""NVIDIA GeForce MX350 2GB",Core i3-1115G44GB - 256GB,Công nghệ màn hình,Ryzen 7-4800HGTX 1650 4GB120Hz,R5-4600H1650Ti 4GB + 144Hz,I5-1035G1  8GB - 256GB,Core i5-10300HGTX1650TI 4GB144Hz,item_name,8GB - 256GB,Ryzen 5-3500U4GB - 256GB,Ryzen 5-4500U8GB - 512GB,"Core i3-1115G4256GB - 14""",Core i5-1035G48GB - 128GB,Ryzen 7-5800HRTX 3060 6G - 144Hz,Core i5-11300HGTX1650 4GB - 144Hz,Core i716GB - 256GB,Ryzen 5-4500U,Core i7-10870HGTX 1660Ti 6GB144Hz,Ryzen 7-4800HGTX 1650Ti 4GB - 144Hz,I7-11800H - VGA 4GB RTX3050TI - 144Hz,Core i3-1005G14GB - 128GB,Ryzen 5 Pro-4650U8GB - 512GB,Ryzen 7-4800HGTX 1660Ti 6GB144Hz,"Core i5-10300HGTX 1650 4GB15.6"" 120Hz",Core i58GB - 512GB,I7-1165G7 - 16GB - 512GB,Ổ cứng
,1536 x 1024 pixels,,,,,,Intel UHD Graphics,,Full HD,,,,0,,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,,LPDDR4x,,,,,,12.4 inches,,,,,278.18 mm x 205.67 mm x 15.69 mm,,,,0,,"1,110 g",,,,,,19.790.000,,,Tấm nền IPS,,,,,,19.790.000,Lên đến 13 giờ (Tùy vào nhu cầu sử dụng),,,,,,,,,Bluetooth Wireless 5.0,,,,,,,,Windows 10 Home in S mode,0,,,Có,0,,,,,,,,,10th Gen Intel Core i5 processor – 1035G1,,,,Wi-Fi 6: 802.11ax,,,,23.990.000,,,21.590.000,,,"Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",,,,,,,156,,,0,,,,https://cellphones.com.vn/surface-laptop-go.html,8GB,"Camera 720p, khẩu độ f2.0",,,,,,,,,,,,,Không,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",,,,"Công nghệ màn hình PixelSense, cảm ứng đa điểm",,,,,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Chính Hãng,,,,,,,,,,,,,,,,,,,SSD: 128GB
,1920 x 1080 pixels (FullHD),,,,,,Intel Iris Xe Graphics,,Full HD,,,,0,,2x Thunderbolt 4 USB-C (supports display / power delivery) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.1,, LPDDR4X 3200MHz,,,,Vỏ kim loại,,13.3 inches,,,,,30.42 x 20.3 x 1.39 ~ 1.39 cm,,,,0,,1.14kg,,,,,,23.590.000,,,Tấm nền OLED/AMOLED,,,,,,,4 Cell ,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,,0,,,,,,,,,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,,,,Intel Wi-Fi 6(Gig+)(802.11ax) (2x2),,,,25.290.000,,,,,,Harman Kardon,,,,,,,63,,,0,,,,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,8GB,HD Web Camera,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"60 Hz, 400 nits, Độ phủ màu100% DCI-P3",,,,,Laptop ASUS ZenBook UX325EA-KG363T,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE G3X2 (1 slot)
,1080 x 1920 pixels (FullHD),,,,,,Intel UHD Graphics,,Full HD,,,,0,,"1 x HDMI, 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s",,"DDR4 2400MHz, 1 khe cắm, hỗ trợ tối đa 12GB",,,,,,15.6 inches,,,,,36.34 x 24.75 x 1.99 cm,,,,0,,1.7 kg,,,,,,13.790.000,,,Tấm nền IPS,,,,,,,"2 cell 36 Wh, Pin liền",,,,,,,,,v5.0,,,,,,Không,,Windows 10 Home SL,0,,,Không,0,,,,,,,,,"Intel Core i5-1035G1 ( 1.0 GHz - 3.6 GHz / 6MB / 4 nhân, 8 luồng )",,,,WiFi 802.11ac,,,,13.990.000,,,,,,2 Loa,,,,,,,166,,,0,,,,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,4GB,HD Camre,,,,,,,,,,,,,,Ổ cứng SSD,,,,"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , VGA webcam",,,,,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F,,,,,,,,,,,,,,,,,,,256GB SSD M.2 NVMe
,1080 x 1920 pixels (FullHD),,,,,,Integrated Intel Iris Xe Graphics,,Full HD,,,,0,,1x HDMI 1.4b  1x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  2x Thunderbolt 4 / USB4 40Gbp  1x Card reader  1x Headphone,,8GB Soldered DDR4-3200,,,,,,14 inches,,,,,32.06 (W) x 20.818 (D) x 1.49 (H) cm,,,,0,,1.36 kg,,,,,,26.490.000,,,Tấm nền IPS,,,,,,,60.7Wh,,,,,,,,,5.0,,,,,,,,"Windows 10 Home 64, English",0,,,Không,0,,,,,,,,,"Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB)",,,,"Wifi 802.11ac, 2x2",,,,27.990.000,,,,,,High Definition (HD) Audio,,,,,,,12,,,0,,,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-14itl5-82a300a6vn.html,8GB,720p + IR + ToF,,,,,,,,,,,,,,Ổ cứng SSD,,,,"300nits Glossy, 100% sRGB",,,,,Laptop Lenovo Yoga Slim 7I 14ITL5,,,,,,,,,,,,,,,,,,,"512GB SSD M.2 2280 PCIe 4.0x4 NVMeOne drive,Hỗ trợ nâng cấp 1TB M.2 2280 SSD"
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,,Full HD,,,,0,,1x Type C USB 3.2 Gen 1 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1 x HDMI 2.0b 1x 3.5mm Combo Audio Jack,,"DDR4-3200MHz, 2 khe cắm tối đa 32GB",,,,,,15.6 inches,,,,,35.4 x 25.9 x 2.06 ~ 2.59 cm,,,,0,,2.10 Kg,,,,,,26.590.000,,,Tấm nền IPS,,,,,,,"4-cell, 56WHrs",,,,,,,,,v5.1,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"AMD Ryzen 7-4800H, 2.9GHz up to 4.2GHz, 8 nhân 16 luồng",,,,Wi-Fi 6(802.11ax),,,,27.490.000,,,,,,2 Loa,,,,,,,17,,,0,,,,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,8GB,HD 720p ,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Tần số quét 144Hz, màn hình chống loá",,,,,Laptop ASUS ROG Strix G15 G513IC-HN002T,,,,,,,,,,,,,,,,,,,512GB M.2 NVMe™ PCIe® 3.0 SSD
,,,,,,,,,Full HD,,,,0,,,,,,,,,,15.6 inches,,,,,21 x 20 x 1.47cm,,,,0,,2kh,,,,,,13.990.000,,,,,,,,,,,,,,,,,,,,15.290.000,,,,,,,Windows 10 Home,0,,,Không,0,,,,,,,,,i3-1115G4,,,,,,,,15.990.000,,,,,,,,,13.990.000,,,,16,,,0,,,,https://cellphones.com.vn/laptop-dell-inspiron-3501-5g8tf.html,4GB,Có,,,,,,,,,,,,,,,,,,,,,,,Laptop Dell Inspiron 3511 5G8TF,,,,,,,,,,,,,,,,,,,128GB SSD
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,,Full HD,,,,0,,1x RJ45 LAN port 3x USB 3.2 Gen 1 Type-A 1x 3.5mm Combo Audio Jack  1x HDMI 2.0b,,"DDR4 2933MHz, 2 khe cắm",,,,,,15.6 inches,,,,,35.9 x 25.6 x 2.28 ~ 2.43 cm,,,,0,,2.3 kg,,,,,,24.790.000,,,Tấm nền IPS,,,,,,,3 Cell 48WHr,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",,,,802.11AC (2X2),,,,25.990.000,,,,,,2 Loa,,,,,,,23,,,0,,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506hcb-hn139t.html,8GB,HD 720p,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Màn hình chống loá, tần số quét 144Hz",,,,,Laptop ASUS Gaming TUF FX506HCB-HN139T,,,,,,,,,,,,,,,,,,,512GB SSD M.2 PCIE
,1366 x 768 pixels (HD+),,,,,,Intel® UHD Graphics 605,,HD,16.990.000,,,0,,1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,,4 GB DDR4-2400 MHz RAM (1 x 4 GB),,,,,,14 inches,,,,,32.4 x 22.59 x 1.99 cm,,17.290.000,,0,,1.47 kg,,,,,,10.990.000,,,,,,,,,,"3-cell, 41 Wh Li-ion",,,,,,,,,4.2,,,,,,,,,0,,,Không,0,,,,,,,,,"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",,,,802.11a/b/g/n/ac (1x1),,,,11.990.000,,,,,,2 Loa,,,,,,,28,,,0,,,10.990.000,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html,4GB,HP True Vision 720p HD camera,,,,,,,,,,,,,,Ổ cứng SSD,,,,"220 nits, 45% NTSC",,,,,Laptop HP 14-CF2033WM 3V7G4UA,,,,,,,,,,,,,,,,,,,128 GB SATA M.2 SSD
,1920 x 1080 pixels (FullHD),,,,,,NVIDIA® GeForce RTX™ 3070 8GB GDDR6,,Full HD,,,,0,, 1 x RJ45 LAN  1 x Type A USB 2.0 1 x Type C USB 3.2 Gen 2 2 x Type A USB 3.2 Gen 1 1 x HDMI 2.0b 1 x 3.5mm Combo Audio Jack ,,"DDR4 3200MHz, 16GB (8GB+8GB), 2 khe",,,,,,15.6 inches,,,,,35.9 x 25.6 x 2.28 ~ 2.43 cm,,,,0,,2.30 kg,,,,,,36.990.000,,,Tấm nền IPS,,,,,,,4Cell 90WHrs,,,,,,,,,v5.0,,,,,,Có,,Windows 10 Home SL ,0,,,Không,0,,,,,,,,,"AMD Ryzen 7 5800H 3.20GHz up to 4.40GHz, 8 nhân 16 luồng",,,,Intel Wi-Fi 6(Gig+)(802.11ax),,,,40.990.000,,,,,,2 Loa,,,,,,,4,,,0,,,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html,16GB,HD 720p,,,,,,,,,,,,,Có,"Ổ cứng SSD, Wi-Fi 6",,,,"Tần số quét 240Hz, Nanoedge, 100% SRGB, màn hình chống chói",,,,,Laptop ASUS TUF Gaming FA506QR-AZ003T,,,,,,,,,,,,,,,,,,,512GB PCIE SSD
,3024 x 1964 pixels ,,,,,,14 nhân GPU,,Retina,,,,0,,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,,,,,,,,14.2 inches,,,,,1.6 kg,,,,0,,1.55 x 31.26 x 22.12 cm,,,,,,52.990.000,,,,,,,,,,,,,,,,,,,v5.0,,,,,,,,MacOS,1,,,Không,0,52.990.000,,,,,,,,M1 Pro/M1 Max,,,,802.11ax Wi-Fi 6 ,,,,,,,,,,6 loa,,,,,,,83,,,0,,,,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,16GB,"1080p Camera, FaceTime",,,,,,,,,,,,65.990.000,,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",,,,"120Hz, Liquid Retina, Mini LED, XDR",,,,,Macbook Pro 14 inch 2021,,,,,,,,,,,,,,,,,,,512GB SSD
