Loại RAM,Khe đọc thẻ nhớ,5star,Độ phân giải màn hình,Tính năng đặc biệt,Webcam,Pin,3star,Độ phân giải ,Loại card đồ họa,url,Kích thước,Bluetooth,Chất liệu tấm nền,4star,Đèn bàn phím,comment_count,Wi-Fi,Cổng giao tiếp,item_name,Loại CPU,Ổ cứng,1star,Dung lượng RAM,Màn hình cảm ứng,2star,Hệ điều hành,Công nghệ âm thanh,old_price,Trọng lượng,Công nghệ màn hình,Chất liệu,Kích thước màn hình,special_price
LPDDR4x,Không,0,1536 x 1024 pixels,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",Camera HD 720p f2.0,,0,Full HD,Intel UHD Graphics,https://cellphones.com.vn/surface-laptop-go-256gb.html,278.18 mm x 205.67 mm x 15.69 mm,Bluetooth Wireless 5.0,Tấm nền IPS,0,,76,Wi-Fi 6: 802.11ax,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,Surface Laptop Go Core i5 / 8GB / 256 GB / 12.4 inch Chính Hãng,10th Gen Intel Core i5 processor – 1035G1,SSD: 256GB,0,8GB,Có,0,Windows 10 Home in S mode,"Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",25.990.000,"1,110 g","Công nghệ màn hình PixelSense, cảm ứng đa điểm (10 điểm)",Vỏ kim loại,12.4 inches,21.590.000
LPDDR4x,Không,0,1536 x 1024 pixels,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay","Camera 720p, khẩu độ f2.0",Lên đến 13 giờ (Tùy vào nhu cầu sử dụng),0,Full HD,Intel UHD Graphics,https://cellphones.com.vn/surface-laptop-go.html,278.18 mm x 205.67 mm x 15.69 mm,Bluetooth Wireless 5.0,Tấm nền IPS,0,,164,Wi-Fi 6: 802.11ax,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Chính Hãng,10th Gen Intel Core i5 processor – 1035G1,SSD: 128GB,0,8GB,Có,0,Windows 10 Home in S mode,"Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",23.990.000,"1,110 g","Công nghệ màn hình PixelSense, cảm ứng đa điểm",,12.4 inches,19.790.000
 LPDDR4X 3200MHz,Có,0,1920 x 1080 pixels (FullHD),"Ổ cứng SSD, Wi-Fi 6",HD Web Camera,4 Cell ,0,Full HD,Intel Iris Xe Graphics,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,30.42 x 20.3 x 1.39 ~ 1.39 cm,v5.0,Tấm nền OLED/AMOLED,0,Có,74,Intel Wi-Fi 6(Gig+)(802.11ax) (2x2),2x Thunderbolt 4 USB-C (supports display / power delivery) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.1,Laptop ASUS ZenBook UX325EA-KG363T,Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,512GB SSD M.2 PCIE G3X2 (1 slot),0,8GB,,0,Windows 10 Home SL ,Harman Kardon,25.290.000,1.14kg,"60 Hz, 400 nits, Độ phủ màu100% DCI-P3",Vỏ kim loại,13.3 inches,23.590.000
"DDR4 2400MHz, 1 khe cắm, hỗ trợ tối đa 12GB",,0,1080 x 1920 pixels (FullHD),Ổ cứng SSD,HD Camre,"2 cell 36 Wh, Pin liền",0,Full HD,Intel UHD Graphics,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,36.34 x 24.75 x 1.99 cm,v5.0,Tấm nền IPS,0,Không,187,WiFi 802.11ac,"1 x HDMI, 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s",Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F,"Intel Core i5-1035G1 ( 1.0 GHz - 3.6 GHz / 6MB / 4 nhân, 8 luồng )",256GB SSD M.2 NVMe,0,4GB,Không,0,Windows 10 Home SL,2 Loa,13.990.000,1.7 kg,"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , VGA webcam",,15.6 inches,13.790.000
"8GB (2x4GB) DDR4-2666, 2 khe cắm tối đa 16GB",Có,0,1366 x 768 pixels (HD+),Ổ cứng SSD,HD 720p ,"3-cell, 41 Wh",0,HD,Intel® Iris® Xe Graphics,https://cellphones.com.vn/laptop-hp-15-hp-15-t-dw300-1a3y3av.html,35.84 x 24.21 x 1.98 cm,v5.0,,0,Không,15,802.11b/g/n/ac ,1 x multi-format SD media card reader 1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x RJ-45 1 x AC smart pin 1 x headphone/microphone combo,Laptop HP 15-HP 15 T-DW300 1A3Y3AV,Core i5 1135G7 2.4Ghz-8Mb,256 GB PCIe® NVMe™ M.2 SSD,0,8GB,Không,0,Windows 10 Home SL ,,19.990.000,1.75 kg,,Vỏ nhựa,15.6 inches,17.290.000
"8GB (2x4GB) DDR4-3200Mhz, tối đa 16GB",Có,0,1366 x 768 pixels (HD+),Ổ cứng SSD,HD 720p ,"3-cell, 41 Wh ",0,HD,AMD Radeon™ Graphics,https://cellphones.com.vn/laptop-hp-15-z-ef2000-2j4v7av.html,35.84 x 24.21 x 1.80 cm,v4.2,,0,Không,19,Wi-Fi 5 (2x2),1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x AC smart pin 1 x headphone/microphone combo,Laptop HP 15 Z-EF2000 2J4V7AV Nhập khẩu chính hãng,"AMD Ryzen 5 5500U (tối đa 4,0 GHz, 8 MB bộ nhớ đệm L3, 6 lõi, 12 luồng)",256 GB PCIe® NVMe™ M.2 SSD,0,8GB,Không,0,Windows 10 Home SL ,2 Loa,18.990.000,1.70 kg,Màn hình chống loá,,15.6 inches,16.990.000
4 GB DDR4-2400 MHz RAM (1 x 4 GB),,0,1366 x 768 pixels (HD+),Ổ cứng SSD,HP True Vision 720p HD camera,"3-cell, 41 Wh Li-ion",0,HD,Intel® UHD Graphics 605,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html,32.4 x 22.59 x 1.99 cm,4.2,,0,,35,802.11a/b/g/n/ac (1x1),1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,Laptop HP 14-CF2033WM 3V7G4UA,"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",128 GB SATA M.2 SSD,0,4GB,Không,0,,2 Loa,11.990.000,1.47 kg,"220 nits, 45% NTSC",,14 inches,10.990.000
"DDR4 3200MHz, 16GB (8GB+8GB), 2 khe",Có,0,1920 x 1080 pixels (FullHD),"Ổ cứng SSD, Wi-Fi 6",HD 720p,4Cell 90WHrs,0,Full HD,NVIDIA® GeForce RTX™ 3070 8GB GDDR6,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html,35.9 x 25.6 x 2.28 ~ 2.43 cm,v5.0,Tấm nền IPS,0,Có,7,Intel Wi-Fi 6(Gig+)(802.11ax), 1 x RJ45 LAN  1 x Type A USB 2.0 1 x Type C USB 3.2 Gen 2 2 x Type A USB 3.2 Gen 1 1 x HDMI 2.0b 1 x 3.5mm Combo Audio Jack ,Laptop ASUS TUF Gaming FA506QR-AZ003T,"AMD Ryzen 7 5800H 3.20GHz up to 4.40GHz, 8 nhân 16 luồng",512GB PCIE SSD,0,16GB,Không,0,Windows 10 Home SL ,2 Loa,40.990.000,2.30 kg,"Tần số quét 240Hz, Nanoedge, 100% SRGB, màn hình chống chói",,15.6 inches,36.990.000
8GB Soldered DDR4-3200,,0,1080 x 1920 pixels (FullHD),Ổ cứng SSD,720p + IR + ToF,60.7Wh,0,Full HD,Integrated Intel Iris Xe Graphics,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-14itl5-82a300a6vn.html,32.06 (W) x 20.818 (D) x 1.49 (H) cm,5.0,Tấm nền IPS,0,,13,"Wifi 802.11ac, 2x2",1x HDMI 1.4b  1x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  2x Thunderbolt 4 / USB4 40Gbp  1x Card reader  1x Headphone,Laptop Lenovo Yoga Slim 7I 14ITL5,"Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB)","512GB SSD M.2 2280 PCIe 4.0x4 NVMeOne drive,Hỗ trợ nâng cấp 1TB M.2 2280 SSD",0,8GB,Không,0,"Windows 10 Home 64, English",High Definition (HD) Audio,27.990.000,1.36 kg,"300nits Glossy, 100% sRGB",,14 inches,26.490.000
"DDR4-3200MHz, 2 khe cắm tối đa 32GB",Có,0,1920 x 1080 pixels (FullHD),"Ổ cứng SSD, Wi-Fi 6",HD 720p ,"4-cell, 56WHrs",0,Full HD,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,35.4 x 25.9 x 2.06 ~ 2.59 cm,v5.1,Tấm nền IPS,0,Có,31,Wi-Fi 6(802.11ax),1x Type C USB 3.2 Gen 1 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1 x HDMI 2.0b 1x 3.5mm Combo Audio Jack,Laptop ASUS ROG Strix G15 G513IC-HN002T,"AMD Ryzen 7-4800H, 2.9GHz up to 4.2GHz, 8 nhân 16 luồng",512GB M.2 NVMe™ PCIe® 3.0 SSD,0,8GB,Không,0,Windows 10 Home SL ,2 Loa,27.490.000,2.10 Kg,"Tần số quét 144Hz, màn hình chống loá",,15.6 inches,26.590.000
