Front camera resolution,Number of HDDs installed,On-board graphics adapter 6K support,Total storage capacity,USB Type-C DisplayPort Alternate Mode,Line-in,Keyboard layout,Aspect ratio,Processor codename,AC adapter output voltage,Number of displays supported (on-board graphics),Trusted Platform Module (TPM),Docking connector,USB4 Gen 3x2 ports quantity,Thermal Design Power (TDP),Built-in speaker(s),NVIDIA G-SYNC,Display brightness,SSD form factor,ExpressCard slot,Alienware graphics amplifier port,Internal memory,Infrared (IR) camera,Display surface,Touchscreen,Solid-state drive interface,Speaker power,Maximum graphics adapter memory,Discrete graphics memory type,Card reader integrated,Continuous video playback time,Bundled software,Cable lock slot,Charging port type,Depth (tablet mode),Spill resistant keyboard,DisplayPorts quantity,IntelÂ® Optaneâ„¢ Memory module installed,3G,Wi-Fi,SSD capacity,Discrete graphics adapter model,Configurable TDP-up,Processor family,On-board graphics adapter DirectX version,Hard drive size,Screen shape,Processor lithography,Memory clock speed,USB 3.2 Gen 2 (3.1 Gen 2) Type-C ports quantity,Battery life (max),Processor model,Hybrid-HDD cache memory,USB 3.0 (3.1 Gen 1) Type-C ports quantity,Mini DisplayPorts quantity,Microphone in,Front camera signal format,Pre-installed software,Memory layout (slots x size),On-board graphics adapter,Removable battery,sRGB coverage (typical),Maximum internal memory,Number of SATA III connectors,USB 3.2 Gen 1 (3.1 Gen 1) Type-C ports quantity,L3 cache,LightScribe,HDD size,Processor frequency,Graphics adapter Open GL support,Password protection,Discrete graphics adapter,Series,CUDA cores,USB 3.0 (3.1 Gen 1) Type-A ports quantity,AC adapter input voltage,Discrete GPU manufacturer,SIM card support,Numeric keypad,Maximum on-board graphics adapter memory,Memory form factor,Intel® Optane™ Memory module installed,Solid-state drive capacity,USB 3.2 Gen 2x2 Type-C ports quantity,3D,Second display touch technology,Second display refresh rate,Market positioning,ECC,Memory slots (available),Total SSDs capacity,NFC key technology,Second display resolution,Battery capacity (Watt-hours),Height,Speakers manufacturer,Display glass type,USB 3.2 Gen 2 (3.1 Gen 2) Type-A ports quantity,Processor threads,TV-out,Dual-screen,On-board graphics adapter dynamic frequency (max),Intel® Thunderbolt 4,HDMI ports quantity,MIMO,AMD FreeSync,HDD capacity,ScreenPad touch technology,Wi-Fi data rate (max),Thunderbolt 4 ports quantity,Hard drive interface,Brand,USB 3.2 (Gen 1) Type-A ports quantity,Docking station included,Maximum resolution,Headphone outputs,Processor cache,Ethernet LAN (RJ-45) ports,Hybrid-HDD capacity,HDMI version,Keyboard backlit,Width (tablet mode),Hard drive speed,Width,HD type,Depth,4G standard,Pixel density,S/PDIF out port,Weight,AC adapter frequency,Part Number,Colour gamut DCI-P3,Height (front),Motherboard chipset,4G,Battery capacity (Watt hours),Number of hard drives installed,Compatible memory cards,Total number of SATA connectors,Mini DisplayPort/Thunderbolt combo port,Model year,Rugged design,AC adapter output current,Proximity sensor,Battery capacity,Height (tablet mode),Family,RGB colour space,USB Power Delivery revision,Hard drive capacity,On-board graphics adapter base frequency,Thunderbolt technology,Rear camera,Price,USB 2.0 ports quantity,Hybrid hard drive (H-HDD) capacity,Operating system installed,Thunderbolt ports quantity,Privacy camera,Privacy type,Maximum refresh rate,Spill-resistant keyboard,Wi-Fi standards,Number of discrete graphics adapters supported,SSD memory type,Thunderbolt version,Touch technology,CardBus PCMCIA slot type,Built-in subwoofer,DisplayPort version,Quick charge time (50%),USB 3.2 Gen 1 (3.1 Gen 1) Type-A ports quantity,Second display location,USB4 Gen 2x2 ports quantity,Memory upgrade note,Trial software,Full-size keyboard,Processor socket,Memory slots,Flash drive interface,Form factor,On-board graphics adapter cores,Flash memory,Bluetooth,USB Power Delivery up to,Housing material,Quick charge,Password protection type,Number of discrete graphics adapters,Fast charging,Windows keys,Fingerprint reader,DVI port,IntelÂ® Optaneâ„¢ Memory module capacity,Product colour,Micro-USB 2.0 ports quantity,Display response rise/fall,Front camera,SSD interface,Panel type,Antenna type,Number of battery cells,CUDA,AC adapter power,Island-style keyboard,Number of execution units,Fast charging time (50%),USB Sleep-and-Charge,Virtual Reality (VR) ready,Native aspect ratio,Model name,Weight (tablet mode),Maximum internal memory (64-bit),Recovery operating system,Processor cores,Second display diagonal,Front camera HD type,USB 3.1 (3.1 Gen 2) Type-A ports quantity,NVIDIA 3D Vision,Video capturing speed,On-board graphics adapter memory,Number of built-in speakers,Standby time,LAN/VGA combo port,Optical drive type,Keyboard language,Rear camera resolution (numeric),Configurable TDP-up frequency,DC-in jack,USB 3.1 (3.1 Gen 2) Type-C ports quantity,SmartCard slot,Height (rear),Colour of product,Operating system language,NVIDIA Max-Q,Face recognition,NFC key,USB Type-C Thunderbolt 3 ports quantity,Voice control,Cable lock slot type,Built-in touchpad,Processor boost frequency,Top Wi-Fi standard,Thunderbolt 3 ports quantity,Drivers included,USB charging voltage,TV out,Display resolution,HDD speed,Hybrid hard drive (H-HDD) cache type,Display diagonal,On-board graphics adapter 4K support,Hybrid-HDD cache type,Ethernet LAN,NVIDIA GameWorks VR,Windows Hello,Original brand name,Built-in stylus pen storage,L2 cache,Storage media,Battery technology,Cabling technology,Micro HDMI ports quantity,Number of microphones,Built-in microphone,Number of USB ports with PowerShare support,Release Date,PowerShare,Front camera resolution (numeric),Hybrid hard drive (H-HDD) cache memory,VGA (D-Sub) ports quantity,Total HDDs capacity,Discrete graphics adapter memory,Smart card reader,Combo headphone/mic port,On-board graphics adapter OpenGL version,Thunderbolt 2 ports quantity,Number of SSDs installed,LED backlight,Keyboard backlit colour,HDD interface,NTSC coverage (typical),Ethernet LAN data rates,On-board graphics adapter model,USB charging current,USB 3.2 (Gen 2) Type-A ports quantity,Anti-glare screen,Product type,USB Power Delivery,Number of discrete graphics adapters installed,Bluetooth version,Touchscreen type,Second display panel type,USB 3.2 (Gen 1) Type-C ports quantity,Audio system,Contrast ratio (typical),USB 2.0 Type-C ports quantity,Display diagonal (metric),Pointing device,On-board graphics adapter burst frequency,Processor series,Processor manufacturer,Intel® Optane™ Memory module capacity,Internal memory type,EAN/UPC code,Operating system architecture,Colour gamut,On-board graphics adapter family
,,,512 GB,,,,16:9,,20 V,,Y,,,15 W,,,,,,,16 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i7,,,,,1866 MHz,,,i7-8565U,,,,,,,,Y,,,16 GB,,2,,,,1.8 GHz,,Y,N,B,,,100 - 240 V,,,N,,On-board,,,,,,,,,,512 GB,,,,,,,,,,N,,,,,,,,,,,ASUS,,,,,8 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,90NX01Z1-M01150,,8.9 mm,,N,48 Wh,,,,,,,3.25 A,,,,ASUSPRO,,,,,,,,,,Windows 10 Pro,,,,,,Wi-Fi 5 (802.11ac),,,,,,,,,,,,,,,,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,,,2x2,4,,65 W,,,,,,,B9440FA-GV0091R,,,,4,,,,,,,,,,N,,,,,,,1.48 cm,,,,,,,,,,4.6 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,16 June 2019,,,,,,,,Y,,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.1,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4718017298377,,,
,,,512 GB,,,,16:9,Whiskey Lake,20 V,,,,,15 W,,,,,,,8 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i7,12.0,,,14 nm,1866 MHz,,,i7-8565U,,,,,,,,Y,,,8 GB,,2,,,,1.8 GHz,,,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,,,,512 GB,,,48 Wh,,,,,8,,N,1150 MHz,,,,,,,,,,ASUS,,,,,8 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,B9440FA-GV0090R,,8.9 mm,,N,,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,Wi-Fi 5 (802.11ac),,,,,,,,,,,,,,,BGA 1528,,,Clamshell,,,Y,,,,,,,Y,,,,Grey,,,N,,,2x2,4,,65 W,,,,,,,B9440FA-GV0090R,,,,4,,,,,,,,,,N,,,,,,,1.48 cm,,,,,,,,,,4.6 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,31 May 2019,,,,,,,,Y,4.5,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.2,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,,,,
,,,512 GB,,,,16:9,Whiskey Lake,20 V,,Y,,,15 W,,,,M.2,,,16 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i7,12.0,,,14 nm,1866 MHz,,,i7-8565U,,2,,,,,,Y,,,16 GB,,,,,,1.8 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,,,,512 GB,,,,,,,,8,,,1150 MHz,,,,,,,,,,ASUS,,,,,8 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,90NX01Z1-M00810,,8.9 mm,,N,48 Wh,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,IEEE 802.11ac,,,,,,,,,,,,,,,BGA 1528,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,Serial ATA III,,2x2,4,,65 W,,,,,,,B9440FA-GV0062R-BE,,,,4,,,,,,,,,,N,,,,,,,1.5 cm,,,,,,,,,,4.6 GHz,IEEE 802.11ac,,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,11 March 2019,,,,,,,,Y,4.5,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.2,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4718017281072,,,
,,,512 GB,,,,16:9,Whiskey Lake,20 V,,Y,,,15 W,,,,M.2,,,16 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i7,12.0,,,14 nm,1866 MHz,,,i7-8565U,,2,,,,,,Y,,,16 GB,,,,,,1.8 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,,,,512 GB,,,,,,,,8,,,1150 MHz,,,,,,,,,,ASUS,,,,,8 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,90NX01Z1-M00800,,8.9 mm,,N,48 Wh,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,IEEE 802.11ac,,,,,,,,,,,,,,,BGA 1528,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,Serial ATA III,,2x2,4,,65 W,,,,,,,B9440FA-GV0061R,,,,4,,,,,,,,,,N,,,,,,,1.5 cm,,,,,,,,,,4.6 GHz,IEEE 802.11ac,,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,11 March 2019,,,,,,,,Y,4.5,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.2,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4718017280877,,,
,,,512 GB,Y,,,16:9,Kaby Lake,20 V,,Y,,,15 W,,,,,,,8 GB,,Matt,N,,1 W,,,N,,,,,,,,,N,Y,512 GB,Not available,,7th gen Intel Core i5,12.0,,,14 nm,1866 MHz,,,i5-7200U,,,,,,,,Y,,,8 GB,,2,,,,2.50 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,Business,,,,,,48 Wh,,Harman Kardon,,,4,,,1000 MHz,,,,,,,,,,ASUS,,,,,3 MB,,,,Y,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50 - 60 Hz,B9448UA-GV0203R,,8.9 mm,,N,,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,"Wi-Fi 5 (802.11ac), 802.11b, 802.11g, Wi-Fi 4 (802.11n)",,,,,,,,,,,,,,,BGA 1356,,,Clamshell,,,Y,,Magnesium,,"BIOS, HDD, User",,,,Y,,,Grey,,,,,,2x2,4,,65 W,Y,,,,,,B9448UA-GV0203R,,,,2,,,,,,,2,,,N,,,,,,,1.5 cm,,,,,,,,,,3.10 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,,,,1,Y,1,11 February 2019,,,,,,,,Y,4.4,,1,Y,,,72%,,Intel HD Graphics 620,,,,Ultrabook,,,4.1,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,,64-bit,,Intel HD Graphics
,,,512 GB,,,,16:9,Whiskey Lake,20 V,,Y,,,15 W,,,,M.2,,,8 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i7,12.0,,,14 nm,1866 MHz,,,i7-8565U,,2,,,,,,Y,,,8 GB,,,,,,1.8 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,,,,512 GB,,,,,,,,8,,N,1150 MHz,,,,,,,,,,ASUS,,,,,8 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,90NX01Z1-M00280,,8.9 mm,,N,48 Wh,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,"IEEE 802.11a, IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,BGA 1528,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,Serial ATA III,,2x2,4,,65 W,,,,,,,B9440FA-GV0019R,,,,4,,,,,,,,,,N,,,,,,,1.48 cm,,,,,,,,,,4.6 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,22 January 2019,,,,,,,,Y,4.5,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.2,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4718017199995,64-bit,,
,,,512 GB,,,,16:9,Whiskey Lake,20 V,,Y,,,15 W,,,,M.2,,,8 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i5,12.0,,,14 nm,1866 MHz,,,i5-8265U,,2,,,,,,Y,,,8 GB,,,,,,1.6 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,,,,512 GB,,,,,,,,8,,N,1100 MHz,,,,,,,,,,ASUS,,,,,6 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50/60 Hz,90NX01Z1-M00270,,8.9 mm,,N,48 Wh,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,"IEEE 802.11a, IEEE 802.11ac, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n",,,,,,,,,,,,,,,BGA 1528,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,Serial ATA III,,2x2,4,,65 W,,,,,,,B9440FA-GV0018R,,,,4,,,,,,,,,,N,,,,,,,1.48 cm,,,,,,,,,,3.9 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,22 January 2019,,,,,,,,Y,4.5,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.2,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4718017199988,64-bit,,
,,,256 GB,,,,16:9,Skylake,19 V,,Y,,,15 W,,,,M.2,,,8 GB,,Matt,N,,1.5 W,,,Y,,,Y,,,,,,Y,Y,256 GB,Not available,,6th gen Intel Core i7,,,,14 nm,2133 MHz,,,i7-6500U,,,1,,,,,Y,,,20 GB,,,,,,2.5 GHz,,Y,N,B,,,100 - 240 V,,,N,1.74 GB,,,,,,,,,,,,,,49 Wh,,,,,4,,,1050 MHz,,,,,,,,,,ASUS,,,,,4 MB,1,,,Y,,,310 mm,Full HD,215 mm,LTE,,,1.37 kg,50 - 60 Hz,90NX00X1-M02470,,1.29 cm,,Y,,,"SD, SDHC, SDXC",,,,,3.42 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,Wi-Fi 5 (802.11ac),,,,,,,,,3,,,,,,LGA 1356 (Socket B2),,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Black,,,Y,,,,3,,65 W,,,,,,,B8230UA-GH0185R,,,,2,,,,,,,,,,N,,,,,,Y,2.06 cm,,,,,,,,Kensington,,3.1 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,12.5 inch,,,Y,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,21 November 2018,,,,1,,,,Y,4.4,,1,Y,,,,"10, 100, 1000 Mbit/s",Intel HD Graphics 520,,,,Notebook,,,4.1,,,,,,,,Touchpad,,Intel Core i7-6500 Mobile series,,,DDR4-SDRAM,,,,
,,,512 GB,,,,16:9,,20 V,,Y,,,,,,,M.2,,,8 GB,,Matt,N,,,,,N,,,,,,,,,N,Y,512 GB,Not available,,8th gen Intel Core i5,,,,,1866 MHz,,,i5-8265U,,,,,,,,Y,,,8 GB,,2,,,,1.6 GHz,,Y,N,B,,,100 - 240 V,,,N,,On-board,,,,,,,,,,,,,48 Wh,,,,,8,,,,,,,,,,,,,ASUS,,,,,6 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50 - 60 Hz,90NX01Z1-M00020,,8.9 mm,,N,,,,,,,,3.25 A,,,,ASUSPRO,,,,,,,,,,Windows 10 Pro,,,,,,Wi-Fi 5 (802.11ac),,,,,,,,,,,,,,,,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,,,Grey,,,N,Serial ATA III,,2x2,4,,65 W,,,,,,,B9440FA-GV0002R,,,,4,,,,,,,,,,N,,,,,,,1.48 cm,,,,,,,,,,3.9 GHz,Wi-Fi 5 (802.11ac),,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,12 September 2018,,,,,,,,Y,,,1,Y,,,,,Intel UHD Graphics 620,,,,Notebook,,,4.1,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,,,,
,,,512 GB,,,,16:9,Kaby Lake,20 V,,Y,,,15 W,,,,,,,8 GB,,Matt,N,,1 W,,,N,,,,,,,,,,Y,512 GB,Not available,,7th gen Intel Core i7,12.0,,,14 nm,,,,i7-7500U,,,,,,,,Y,,,8 GB,,2,,,,2.70 GHz,,Y,N,B,,,100 - 240 V,,,N,32 GB,On-board,,,,,,,Business,,,,,,48 Wh,,Harman Kardon,,,4,,,1050 MHz,,,,,,,,,,ASUS,,,,,4 MB,,,,,,,321.3 mm,Full HD,216.2 mm,,,,1.05 kg,50 - 60 Hz,B9440UA-GV0056R,,8.9 mm,Intel SoC,,,,,,,,,3.25 A,,,,ASUSPRO,,,,300 MHz,,,,,,Windows 10 Pro,,,,,,"802.11a, Wi-Fi 5 (802.11ac), 802.11b, 802.11g, Wi-Fi 4 (802.11n)",,,,,,,,,,,,,,Y,BGA 1356,,,Clamshell,,,Y,,,,"BIOS, HDD, User",,,Y,Y,N,,Grey,,,N,PCI Express 3.0,,,4,,65 W,,,,,,,B9440UA-GV0056R,,8 GB,,2,,,,,,,,,,N,,,,,,,1.5 cm,,,,,,,,,,3.50 GHz,,,,,,1920 x 1080 pixels,,,14 inch,,,N,,,,,,SSD,Lithium Polymer (LiPo),,,,Y,,30 April 2018,,,,,,,,Y,4.4,,1,Y,,,,,Intel HD Graphics 620,,,,Notebook,,,4.1,,,,,,,,Touchpad,,,,,LPDDR3-SDRAM,4712900803754,64-bit,,
