PN,rating,rating_count,comment_count,name,price,CPU,RAM,RAM_upgradable,GPU,battery_wh,hard_drive,storage_upgradable,screen_size,display_resolution,display_rating,screen_technology,weight,length,width,height,OS,surface_material,release_year,hdmi,jack,lan,type_c,usb,sd,keyboard_light
NH.QD9SV.001,5,1,598,Acer Nitro Gaming AN515-57-74NU/i7-11800H,28499000,Intel Core i7 - 11800H,8 GB,Yes,NVIDIA GeForce RTX 3050Ti 4GB,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,LED-backlit,2.2,363.4,255,23.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,No,Yes
852VN,5,1,340,MSI Modern 14 B11MOU 852VN i5 1155G7/852VN,18799000,Intel Core i5 - 1155G7,8 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,IPS LCD,1.3,319,219,16.9,Windows 10,Kim Loại,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5,1,116,Dell Inspiron N3511 i3 1115G4/P112F001ABL,15299000,Intel Core i3 - 1115G4,4 GB,Yes,Intel UHD Graphics,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
V5I3001W,5,2,788,Dell Vostro V3500 i3 1115G4,15599000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.98,368,249,19.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82H80040VN,5,4,378,Lenovo IdeaPad Slim 3 15ITL6 i3 1115G4,14999000,Intel Core i3 - 1115G4,8 GB,Yes,Intel UHD Graphics,--,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,Anti-glare LED-backlit,1.65,359,237.7,19.9,Windows 10,ABS plastic,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
P112F001,5,1,60,Dell Inspiron N3511 i5 1135G7/P112F001BBL,19999000,Intel Core i5 - 1135G7,4 GB,Yes,Intel Iris Xe Graphics,65 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.73,358.5,258,18.9,Windows 10,Nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
82FG00R0VN,5,5,1244,Lenovo Ideapad Slim 5 15ITL05 i5 1135G7,18799000,Intel Core i5 - 1135G7,16 GB,Yes,Intel Iris Xe Graphics,45 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,--,"IPS LCD LED Backlit, True Tone",1.66,356.67,233.13,17.9,Windows 10,Kim loại và nhựa,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
481VN,5,1,871,MSI Gaming GF63 Thin 10SC-481VN i7 10750H,22309000,Intel Core i7 - 10750H,8 GB,Yes,NVIDIA GeForce GTX1650 Max Q 4GB,120 W,SSD 512 GB,Yes,"15.6""",1920 x 1080 Pixel,144 Hz,IPS LCD,1.86,359,254,21.7,Windows 10,--,2021,Yes,Yes,Yes,Yes,Yes,No,No
P106F003ASL,5,1,558,Dell Inspiron N5515 R5 5500U/P106F003ASL,18999000,Intel Ryzen 5 - 5500U,8 GB,Yes,AMD Radeon RX Graphics Vega 7,65 W,SSD 256 GB,Yes,"15.6""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.75,356,228,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
21A2004BVN,3,2,177,Lenovo ThinkBook 14 G3 ACL R7 5700U/21A2004BVN,19999000,AMD Ryzen 7 - 5700U,8 GB,Yes,AMD Radeon Graphics,45 W,SSD 512 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,"IPS LCD LED Backlit, True Tone",1.4,323,217.5,17.9,Windows 10,Nhôm,2021,Yes,Yes,Yes,Yes,Yes,Yes,Yes
70253900,5,1,298,Dell Vostro V3400 i5 1135G7/70253900,18899000,Intel Core i5 - 1135G7,8 GB,Yes,Intel UHD Graphics,45 W,SSD 256 GB,Yes,"14.0""",1920 x 1080 Pixel,60 Hz,WVA Anti-glare LED Backlit Narrow Border,1.86,359,254,21.7,Windows 10,Nhựa,2020,Yes,Yes,Yes,Yes,Yes,No,Yes
