,P/N,Rating,Rating_count,Comment_count,Brand,Series,Price,cpu_name,cpu_code,ram_size,ram_upgradable,GPU,Battery,storage_size,storage_type,storage_extra_slot,displ_size,displ_resolution,displ_rate,weight,length,width,thickness,OS,Surface,Release_year,backlit_keyboard,hdmi,headphone_jack,lan,type_c,usb_a,sd_card
0,NH.QD9SV.005,4.7,8,157,Acer,Nitro 5 Gaming AN515 57 727J,29690000.0,Intel,11800H,8.0,yes,NVIDIA GeForce RTX3050Ti,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
1,MGND3SA/A,4.5,39,906,Apple,MacBook Air M1 2020,28990000.0,Apple,M1,8.0,no,7 nhân GPU,,256.0,SSD,no,13.3,2560 x 1600,60,1.29,304.1,212.4,4.1,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
2,286VN,5.0,2,32,MSI,Gaming GF65 Thin 10UE,29490000.0,Intel,10500H,,yes,NVIDIA GeForce RTX 3060 Max-Q,51.0,,,yes,15.6,1920 x 1080,144,1.86,359.0,254.0,21.7,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
3,K2064T,0.0,0,24,Asus,ROG Zephyrus G14 Alan Walker GA401QEC,44990000.0,AMD,5900HS,16.0,yes,NVIDIA GeForce RTX3050Ti,76.0,,,no,14.0,2560 x 1440,120,1.7,324.0,220.0,19.9,Windows 10,"Metal, Plastic",2021,yes,yes,yes,no,yes,yes,no
4,Z11C,4.7,18,219,Apple,MacBook Pro M1 2020,44990000.0,Apple,M1,16.0,no,8 nhân GPU,,512.0,SSD,no,13.3,2560 x 1600,60,1.4,304.1,212.4,15.6,Mac OS,Metal,2020,yes,no,yes,no,yes,no,no
5,NH.QDGSV.003,0.0,0,97,Acer,Nitro 5 Gaming AN515 57 5831,32790000.0,Intel,11400H,8.0,yes,NVIDIA GeForce RTX 3060,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 10,Plastic,2021,yes,yes,yes,yes,yes,yes,no
6,NH.QENSV.004,5.0,1,51,Acer,Nitro 5 Gaming AN515 57 54AF,28790000.0,Intel,11400H,16.0,yes,NVIDIA GeForce RTX3050,57.0,512.0,SSD,yes,15.6,1920 x 1080,144,2.2,363.4,255.0,23.9,Windows 11,Plastic,2021,yes,yes,yes,yes,yes,yes,no
7,70253900,5.0,6,359,Dell,Vostro 3400,18890000.0,Intel,1135G7,8.0,yes,Intel Iris Xe Graphics,42.0,,,yes,14.0,1920 x 1080,60,1.64,328.7,239.5,19.9,Windows 10,Plastic,2021,no,yes,yes,yes,no,yes,yes
8,680VN,4.3,55,871,MSI,Modern 15 A11MU,18990000.0,Intel,1155G7,8.0,yes,Intel Iris Xe Graphics,52.0,,,yes,15.6,1920 x 1080,60,1.6,356.8,233.75,16.9,Windows 10,Metal,2021,yes,yes,no,no,yes,yes,yes
9,2K0B6PA,0.0,0,181,HP,Envy 13 ba1030TU,30390000.0,Intel,1165G7,8.0,no,Intel Iris Xe Graphics,,512.0,SSD,no,13.3,1920 x 1080,60,1.236,306.5,194.6,16.9,Windows 10,Metal,2020,yes,no,yes,no,yes,yes,yes
